Date,Close
02/01/2018,40.14
03/01/2018,40.41
04/01/2018,40.77
05/01/2018,40.74
08/01/2018,40.73
09/01/2018,40.24
10/01/2018,39.16
11/01/2018,39.49
12/01/2018,39.74
16/01/2018,39.78
17/01/2018,39.81
18/01/2018,39.72
19/01/2018,39.39
22/01/2018,39.64
23/01/2018,39.49
24/01/2018,39.5
25/01/2018,38.62
26/01/2018,38.19
29/01/2018,37.58
30/01/2018,36.81
31/01/2018,36.63
01/02/2018,35.86
02/02/2018,34.7
05/02/2018,34.37
06/02/2018,35.04
07/02/2018,35.16
08/02/2018,34.34
09/02/2018,34.02
12/02/2018,34.73
13/02/2018,35.03
14/02/2018,34.3
15/02/2018,34.55
16/02/2018,34.27
20/02/2018,34.08
21/02/2018,34.11
22/02/2018,33.48
23/02/2018,33.76
26/02/2018,33.92
27/02/2018,32.99
28/02/2018,31.82
01/03/2018,31.81
02/03/2018,31.48
05/03/2018,31.57
06/03/2018,31.77
07/03/2018,31.43
08/03/2018,31.88
09/03/2018,32.01
12/03/2018,32.66
13/03/2018,32.89
14/03/2018,33.09
15/03/2018,31.46
16/03/2018,31.54
19/03/2018,30.7
20/03/2018,29.93
21/03/2018,31.13
22/03/2018,30.63
23/03/2018,29.91
26/03/2018,29.95
27/03/2018,30.44
28/03/2018,30.36
29/03/2018,31.47
02/04/2018,30.59
03/04/2018,30.31
04/04/2018,30.89
05/04/2018,31.49
06/04/2018,31.23
09/04/2018,31.62
10/04/2018,32.09
11/04/2018,31.9
12/04/2018,31.95
13/04/2018,32.06
16/04/2018,32.59
17/04/2018,32.98
18/04/2018,33.1
19/04/2018,31.98
20/04/2018,31.21
23/04/2018,31.01
24/04/2018,29.39
25/04/2018,29.27
26/04/2018,29.42
27/04/2018,29.8
30/04/2018,30.27
01/05/2018,30.62
02/05/2018,30.67
03/05/2018,30.9
04/05/2018,31.38
07/05/2018,31.56
08/05/2018,31.2
09/05/2018,32.11
10/05/2018,33.12
11/05/2018,33.76
14/05/2018,33.25
15/05/2018,33.07
16/05/2018,32.7
17/05/2018,33
18/05/2018,32.16
21/05/2018,31.94
22/05/2018,31.57
23/05/2018,31.77
24/05/2018,31.58
25/05/2018,31.24
29/05/2018,30.6
30/05/2018,31.13
31/05/2018,31.07
01/06/2018,30.73
04/06/2018,31.17
05/06/2018,31.5
06/06/2018,30.97
07/06/2018,31.29
08/06/2018,31.33
11/06/2018,32.26
12/06/2018,32.46
13/06/2018,32.41
14/06/2018,32.6
15/06/2018,32.03
18/06/2018,32.31
19/06/2018,31.7
20/06/2018,31.75
21/06/2018,31.26
22/06/2018,31.73
25/06/2018,31.28
26/06/2018,32.16
27/06/2018,31.68
28/06/2018,33.11
29/06/2018,35.69
02/07/2018,35
03/07/2018,35.19
05/07/2018,35.1
06/07/2018,35.61
09/07/2018,35.47
10/07/2018,35.79
11/07/2018,35.41
12/07/2018,35.83
13/07/2018,35.58
16/07/2018,35.36
17/07/2018,34.5
18/07/2018,34.21
19/07/2018,35.24
20/07/2018,34.61
23/07/2018,34.56
24/07/2018,34.81
25/07/2018,34.94
26/07/2018,35.15
27/07/2018,34.94
30/07/2018,35.31
31/07/2018,35.43
01/08/2018,35.26
02/08/2018,35.45
03/08/2018,35.95
06/08/2018,36.51
07/08/2018,35.87
08/08/2018,35.77
09/08/2018,36.19
10/08/2018,35.88
13/08/2018,35.7
14/08/2018,35.51
15/08/2018,35.08
16/08/2018,34.9
17/08/2018,36.03
20/08/2018,36.22
21/08/2018,35.89
22/08/2018,36.18
23/08/2018,36
24/08/2018,35.54
27/08/2018,35.59
28/08/2018,35.01
29/08/2018,34.89
30/08/2018,34.76
31/08/2018,34.17
04/09/2018,34.11
05/09/2018,34.63
06/09/2018,34.26
07/09/2018,34.02
10/09/2018,33.75
11/09/2018,34.32
12/09/2018,34.16
13/09/2018,34.13
14/09/2018,33.89
17/09/2018,34.28
18/09/2018,34.53
19/09/2018,34.61
20/09/2018,34.4
21/09/2018,34.43
24/09/2018,33.82
25/09/2018,33.13
26/09/2018,32.42
27/09/2018,32.42
28/09/2018,32.29
01/10/2018,33.18
02/10/2018,33.36
03/10/2018,33.79
04/10/2018,33.9
05/10/2018,33.71
08/10/2018,33.7
09/10/2018,33.7
10/10/2018,32.67
11/10/2018,31.84
12/10/2018,31.98
15/10/2018,32.32
16/10/2018,33.39
17/10/2018,32.41
18/10/2018,32.37
19/10/2018,32.69
22/10/2018,32.2
23/10/2018,32.33
24/10/2018,31.52
25/10/2018,31.19
26/10/2018,31.26
29/10/2018,30.49
30/10/2018,30.48
31/10/2018,31.11
