Date,Close
02/01/2018,41.8
03/01/2018,42.82
04/01/2018,44.14
05/01/2018,44.01
08/01/2018,44.22
09/01/2018,44.05
10/01/2018,43
11/01/2018,44.19
12/01/2018,44.07
16/01/2018,44.19
17/01/2018,44.03
18/01/2018,43.86
19/01/2018,43.15
22/01/2018,43.29
23/01/2018,43.38
24/01/2018,44.16
25/01/2018,43.16
26/01/2018,43.49
29/01/2018,43.02
30/01/2018,42.7
31/01/2018,42.41
01/02/2018,42.43
02/02/2018,41
05/02/2018,39.54
06/02/2018,41.86
07/02/2018,42.39
08/02/2018,40.75
09/02/2018,41.46
12/02/2018,42
13/02/2018,41.4
14/02/2018,41.81
15/02/2018,41.85
16/02/2018,41.09
20/02/2018,40.77
21/02/2018,40.56
22/02/2018,40.91
23/02/2018,40.91
26/02/2018,41.54
27/02/2018,40.17
28/02/2018,39.35
01/03/2018,37.79
02/03/2018,37.43
05/03/2018,37.74
06/03/2018,37.93
07/03/2018,37.74
08/03/2018,37.84
09/03/2018,37.84
12/03/2018,37.83
13/03/2018,38.01
14/03/2018,37.69
15/03/2018,37.85
16/03/2018,37.94
19/03/2018,37.01
20/03/2018,36.89
21/03/2018,37.58
22/03/2018,36.35
23/03/2018,35.17
26/03/2018,35.99
27/03/2018,34.87
28/03/2018,35.47
29/03/2018,36.34
02/04/2018,35.76
03/04/2018,36.94
04/04/2018,38.03
05/04/2018,38
06/04/2018,37.68
09/04/2018,37.83
10/04/2018,39.07
11/04/2018,39
12/04/2018,38.83
13/04/2018,38.73
16/04/2018,39.17
17/04/2018,39.22
18/04/2018,38.93
19/04/2018,37.77
20/04/2018,37.61
23/04/2018,37.69
24/04/2018,37.93
25/04/2018,38.11
26/04/2018,38.25
27/04/2018,37.65
30/04/2018,36.74
01/05/2018,36.42
02/05/2018,36.2
03/05/2018,36.15
04/05/2018,36.71
07/05/2018,36.34
08/05/2018,36.33
09/05/2018,36.27
10/05/2018,37.16
11/05/2018,36.89
14/05/2018,36.63
15/05/2018,36.94
16/05/2018,38.03
17/05/2018,38.3
18/05/2018,37.79
21/05/2018,38.09
22/05/2018,38.28
23/05/2018,37.85
24/05/2018,38.39
25/05/2018,38.3
29/05/2018,37.38
30/05/2018,37.83
31/05/2018,42.7
01/06/2018,43.2
04/06/2018,43.78
05/06/2018,43.41
06/06/2018,43.93
07/06/2018,44.01
08/06/2018,44.25
11/06/2018,44.85
12/06/2018,44.18
13/06/2018,44.45
14/06/2018,43.57
15/06/2018,43.91
18/06/2018,43.95
19/06/2018,42.26
20/06/2018,41.95
21/06/2018,41.12
22/06/2018,41.25
25/06/2018,40.61
26/06/2018,41.01
27/06/2018,40.37
28/06/2018,40.52
29/06/2018,39.4
02/07/2018,39.5
03/07/2018,38.97
05/07/2018,39.47
06/07/2018,39.16
09/07/2018,39.75
10/07/2018,40.09
11/07/2018,39.3
12/07/2018,39.27
13/07/2018,39.36
16/07/2018,39.56
17/07/2018,40.03
18/07/2018,39.87
19/07/2018,39.31
20/07/2018,39.4
23/07/2018,39.27
24/07/2018,39.48
